Player,Position,Team,Opp,FF Avg,FG Avg,FGA Avg,FPTS Avg,FR Avg,FUM_LOST Avg,INT Avg,PA Avg,PASS_ATT Avg,PASS_CMP Avg,PASS_TD Avg,PASS_YDS Avg,REC Avg,REC_TD Avg,REC_YDS Avg,RUSH_ATT Avg,RUSH_TD Avg,RUSH_YDS Avg,SACK Avg,SAFETY Avg,TD Avg,XPT Avg,YDS_AGN Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Player Salary,Player Image,Tournament,Game Start Time
Tyler Bass,K,BUF,,,1.6,1.9,8,,,,,,,,,,,,,,,,,,3.1,,7.9,7.9,7.9,7.9,,,,n/a,n/a,n/a,n/a,n/a,7500,https://dkn.gs/sports/images/nfl/players/50/485610.png,DET @ BUF,9/17/2026
TB,DST,TB,,0.9,,,8.3,0.6,,0.8,16.6,,,,,,,,,,,3.5,0,0.2,,295.4,8.5,8.5,8.5,8.5,,,,CLE @ TB,Browns @ Buccaneers,Raymond James Stadium,outdoor,CBS,,,,
LAC,DST,LAC,,0.5,,,7.9,0.5,,0.9,18,,,,,,,,,,,3,0,0.2,,292.1,8,8,8,8,,,,LV @ LAC,Raiders @ Chargers,SoFi Stadium,outdoor,CBS,,,,
PHI,DST,PHI,,1,,,7.8,0.6,,0.7,16.2,,,,,,,,,,,2.9,0.1,0.2,,272.2,7.9,7.9,7.9,7.9,,,,PHI @ TEN,Eagles @ Titans,Nissan Stadium,outdoor,FOX,,,,
SEA,DST,SEA,,0.8,,,7.7,0.5,,0.7,18.5,,,,,,,,,,,3,0,0.2,,296.4,7.6,7.6,7.6,7.6,,,,SEA @ ARI,Seahawks @ Cardinals,State Farm Stadium,retractable_dome,FOX,,,,
BAL,DST,BAL,,1,,,7.6,0.6,,0.8,19.3,,,,,,,,,,,2.7,0,0.2,,323.8,6.7,6.7,6.7,6.7,,,,NO @ BAL,Saints @ Ravens,M&T Bank Stadium,outdoor,CBS,,,,
SF,DST,SF,,0.9,,,7.6,0.6,,0.8,17,,,,,,,,,,,2.7,0,0.2,,312.3,6.7,6.7,6.7,6.7,,,,MIA @ SF,Dolphins @ 49ers,Levi's Stadium,outdoor,FOX,,,,
CHI,DST,CHI,,1,,,7.2,0.6,,0.9,22.5,,,,,,,,,,,3.2,0,0.2,,327.5,6.4,6.4,6.4,6.4,,,,MIN @ CHI,Vikings @ Bears,Soldier Field,outdoor,FOX,,,,
GB,DST,GB,,0.9,,,6.6,0.5,,0.8,21.2,,,,,,,,,,,2.9,0,0.2,,305.6,5.7,5.7,5.7,5.7,,,,GB @ NYJ,Packers @ Jets,MetLife Stadium,outdoor,FOX,,,,
PIT,DST,PIT,,1,,,6.5,0.6,,0.7,22.3,,,,,,,,,,,3.1,0,0.1,,347.5,5.3,5.3,5.3,5.3,,,,PIT @ NE,Steelers @ Patriots,Gillette Stadium,outdoor,CBS,,,,
LAR,DST,LAR,,0.8,,,6.5,0.5,,0.7,21.2,,,,,,,,,,,2.9,0,0.2,,319.8,5.5,5.5,5.5,5.5,,,,NYG @ LAR,Giants @ Rams,SoFi Stadium,outdoor,ABC/ESPN,,,,
