PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,RST%
Bam Knight,RB,ARI,LAC,381,47.5,9,19.25,4000,0,0,0
Justin Shorter,WR,LV,MIA,-171,40,-3,21.5,3000,0,0,0
Tip Reiman,TE,ARI,LAC,381,47.5,9,19.25,2500,0,0,0
David Martin-Robinson,TE,TEN,NYJ,-122,38.5,-1.5,20,2500,0,0,0
Ja'Lynn Polk,WR,NO,DET,260,50,7,21.5,3000,0,0,0
Cole Burgess,WR,PIT,ATL,-266,41,-6,23.5,3000,0,0,0
British Brooks,RB,HOU,BUF,100,45,1.5,21.75,4000,0,0,0
Evan Deckers,TE,TB,CIN,169,50.5,3.5,23.5,2500,0,0,0
Tyrell Shavers,WR,BUF,HOU,-121,45,-1.5,23.25,3000,0,0,0
Spencer Rattler,QB,NO,DET,260,50,7,21.5,4000,0,0,0
Tyson Bagent,QB,CHI,CAR,-175,47,-3,25,4000,0,0,0
Tanner McKee,QB,PHI,WAS,-246,44.5,-5.5,25,4000,0,0,0
Aidan O'Connell,QB,LV,MIA,-171,40,-3,21.5,4000,0,0,0
Mason Tipton,WR,NO,DET,260,50,7,21.5,3000,0,0,0
Luke Musgrave,TE,GB,MIN,100,46.5,1.5,22.5,3000,0,0,0
J.J. McCarthy,QB,MIN,GB,-125,46.5,-1.5,24,4500,0,0,0
Jeshaun Jones,WR,MIN,GB,-125,46.5,-1.5,24,3000,0,0,0
Brock Bowers,TE,LV,MIA,-171,40,-3,21.5,6900,0,0,0
Riley Leonard,QB,IND,BAL,149,47.5,3.5,22,4400,0,0,0
Dont'e Thornton,WR,LV,MIA,-171,40,-3,21.5,3300,0,0,0
Davis Mills,QB,HOU,BUF,100,45,1.5,21.75,4200,0,0,0
Andy Dalton,QB,PHI,WAS,-246,44.5,-5.5,25,4000,0,0,0
Tyler Huntley,QB,BAL,IND,-179,47.5,-3.5,25.5,4300,0,0,0
Ke'Shawn Williams,WR,CIN,TB,-206,50.5,-3.5,27,3000,0,0,0
Josh Jacobs,RB,GB,MIN,100,46.5,1.5,22.5,6300,0,0,0
Michael Penix,QB,ATL,PIT,216,41,6,17.5,4800,0,0,0
Savion Williams,WR,GB,MIN,100,46.5,1.5,22.5,3200,0,0,0
Mark Redman,TE,GB,MIN,100,46.5,1.5,22.5,2500,0,0,0
Marcus Mariota,QB,WAS,PHI,202,44.5,5.5,19.5,4500,0,0,0
Simi Fehoko,WR,ARI,LAC,381,47.5,9,19.25,3000,0,0,0
Myles Price,WR,MIN,GB,-125,46.5,-1.5,24,3000,0,0,0
Andrew Beck,RB,NYJ,TEN,100,38.5,1.5,18.5,4000,0,0,0
David Sills,WR,TB,CIN,169,50.5,3.5,23.5,3000,0,0,0
Zach Wood,TE,NO,DET,260,50,7,21.5,2500,0,0,0
Chris Blair,WR,ATL,PIT,216,41,6,17.5,3000,0,0,0
Quinn Ewers,QB,JAX,CLE,-443,40,-8.5,24.25,4000,0,0,0
Hunter Long,TE,ARI,LAC,381,47.5,9,19.25,2500,0,0,0
Brevin Jordan,TE,HOU,BUF,100,45,1.5,21.75,2500,0,0,0
Will Howard,QB,PIT,ATL,-266,41,-6,23.5,4000,0,0,0
Ben Yurosek,TE,MIN,GB,-125,46.5,-1.5,24,2500,0,0,0
Tay Martin,WR,DET,NO,-329,50,-7,28.5,3000,0.12,0,0
Nikola Kalinic,TE,CHI,CAR,-175,47,-3,25,2500,0,0,0
Carter Runyon,TE,LV,MIA,-171,40,-3,21.5,2500,0,0,0
Skylar Thompson,QB,BAL,IND,-179,47.5,-3.5,25.5,4000,0,0,0
Isiah Pacheco,RB,DET,NO,-329,50,-7,28.5,5000,0,0,0
Grant Calcaterra,TE,PHI,WAS,-246,44.5,-5.5,25,2500,0,0,0
Dillon Gabriel,QB,CLE,JAX,331,40,8.5,15.75,4000,0,0,0
Trevor Etienne,RB,CAR,CHI,145,47,3,22,4500,0,0,0
Cole Turner,TE,MIA,LV,142,40,3,18.5,2500,0,0,0
Shedeur Sanders,QB,CLE,JAX,331,40,8.5,15.75,4700,0,0,0
Ben Skowronek,WR,PIT,ATL,-266,41,-6,23.5,3000,0,0,0
Jelani Woods,TE,NYJ,TEN,100,38.5,1.5,18.5,2500,0,0,0
Keleki Latu,TE,BUF,HOU,-121,45,-1.5,23.25,2500,0,0,0
Graham Mertz,QB,HOU,BUF,100,45,1.5,21.75,4000,0,0,0
Gavin Bartholomew,TE,MIN,GB,-125,46.5,-1.5,24,2500,0,0,0
Ty Chandler,RB,NO,DET,260,50,7,21.5,4000,0,0,0
Brittain Brown,RB,CHI,CAR,-175,47,-3,25,4000,0,0,0
Jayden Higgins,WR,HOU,BUF,100,45,1.5,21.75,4500,0,0,0
Justin Joly,TE,MIA,LV,142,40,3,18.5,2500,0,0,0
Thomas Yassmin,TE,GB,MIN,102,46.5,1.5,22.5,2500,0,0,0
Luke McCaffrey,WR,WAS,PHI,189,44.5,5,19.75,3500,0,0,0
Tyrod Taylor,QB,GB,MIN,102,46.5,1.5,22.5,4000,0,0,0
Colson Yankoff,TE,WAS,PHI,189,44.5,5,19.75,2500,0,0,0
Chris Collier,RB,LV,MIA,-190,40.5,-3.5,22,4000,0,0,0
Justin Joly,TE,MIA,LV,156,40.5,3.5,18.5,2500,0,0,0
,,,,,,,,,,,
Sam Darnold,UT,SEA,NE,-175,44.5,-3,23.75,9400,17.3,1.8,55
Drake Maye,UT,NE,SEA,146,44.5,3,20.75,10000,19.85,2,64
Jaxon Smith-Njigba,UT,SEA,NE,-175,44.5,-3,23.75,10600,19.72,1.9,61
A.J. Brown,UT,NE,SEA,146,44.5,3,20.75,9600,16.86,1.8,50
Rhamondre Stevenson,UT,NE,SEA,146,44.5,3,20.75,8400,16.51,2,56
Elijah Arroyo,UT,SEA,NE,-175,44.5,-3,23.75,1600,3.91,2.4,6
Eli Raridon,UT,NE,SEA,146,44.5,3,20.75,1800,4.57,2.5,8.5
AJ Barner,UT,SEA,NE,-175,44.5,-3,23.75,4600,9.34,2,21.2
DeMario Douglas,UT,NE,SEA,146,44.5,3,20.75,3000,6.52,2.2,23.5
Jadarian Price,UT,SEA,NE,-175,44.5,-3,23.75,7200,10.22,1.4,38.2
Hunter Henry,UT,NE,SEA,146,44.5,3,20.75,4800,9.42,2,30
Romeo Doubs,UT,NE,SEA,146,44.5,3,20.75,6600,10.59,1.6,30
Rashid Shaheed,UT,SEA,NE,-175,44.5,-3,23.75,6400,9.47,1.5,21.2
New England Patriots,UT,NE,SEA,146,44.5,3,20.75,3400,5.93,1.7,13
Cooper Kupp,UT,SEA,NE,-175,44.5,-3,23.75,5200,7.92,1.5,20.5
Seattle Seahawks,UT,SEA,NE,-175,44.5,-3,23.75,4400,7.03,1.6,17.5
George Holani,UT,SEA,NE,-175,44.5,-3,23.75,4200,5.63,1.3,18
Tory Horton,UT,SEA,NE,-175,44.5,-3,23.75,2800,3.52,1.3,6.5
Mack Hollins,UT,NE,SEA,146,44.5,3,20.75,3600,3.64,1,10.5
Corey Kiner,UT,NE,SEA,146,44.5,3,20.75,2400,2.51,1.1,7.5
Eric Saubert,UT,SEA,NE,-175,44.5,-3,23.75,600,0.48,0.8,1.2
Emanuel Wilson,UT,SEA,NE,-175,44.5,-3,23.75,4000,2.44,0.6,6.5
Jason Myers,UT,SEA,NE,-175,44.5,-3,23.75,5400,8.85,1.6,27
Andy Borregales,UT,NE,SEA,146,44.5,3,20.75,5000,7.61,1.5,21
Reggie Gilliam,UT,NE,SEA,146,44.5,3,20.75,200,0.28,1.4,0
Kyle Williams,UT,NE,SEA,146,44.5,3,20.75,2600,0.33,0.1,3.5
Efton Chism,UT,NE,SEA,146,44.5,3,20.75,1000,0.13,0.1,1.2
Julian Hill,UT,NE,SEA,146,44.5,3,20.75,200,0,0,0
Myles Montgomery,UT,NE,SEA,146,44.5,3,20.75,200,0,0,0
Tanner Arkin,UT,NE,SEA,146,44.5,3,20.75,200,0,0,0
Behren Morton,UT,NE,SEA,146,44.5,3,20.75,6000,0,0,0
Jeremiah Webb,UT,NE,SEA,146,44.5,3,20.75,200,0,0,0
Robbie Ouzts,UT,SEA,NE,-175,44.5,-3,23.75,200,0,0,0
TreVeyon Henderson,UT,NE,SEA,146,44.5,3,20.75,7600,0,0,0
Montorie Foster,UT,SEA,NE,-175,44.5,-3,23.75,200,0,0,0
Brady Russell,UT,SEA,NE,-175,44.5,-3,23.75,200,0,0,0
Nick Kallerup,UT,SEA,NE,-175,44.5,-3,23.75,200,0,0,0
Jalen Milroe,UT,SEA,NE,-175,44.5,-3,23.75,6000,0,0,0
Irvin Charles,UT,SEA,NE,-175,44.5,-3,23.75,200,0,0,0
Cameron Latu,UT,NE,SEA,146,44.5,3,20.75,800,0,0,0
Tommy DeVito,UT,NE,SEA,146,44.5,3,20.75,8000,0,0,0
Drew Lock,UT,SEA,NE,-175,44.5,-3,23.75,7400,0,0,0
Zach Charbonnet,UT,SEA,NE,-175,44.5,-3,23.75,8200,0,0,0
Jake Bobo,UT,SEA,NE,-175,44.5,-3,23.75,1200,0,0,0
,,,,,,,,,,,
Matthew Stafford,UT,LAR,SF,-205,48.5,-3.5,26,9800,17.16,1.8,54.2
Christian McCaffrey,UT,SF,LAR,169,48.5,3.5,22.5,10600,21.12,2,65
Xavier Smith,UT,LAR,SF,-205,48.5,-3.5,26,200,1.05,5.3,2
Brock Purdy,UT,SF,LAR,169,48.5,3.5,22.5,9400,18.95,2,57.8
Puka Nacua,UT,LAR,SF,-205,48.5,-3.5,26,11200,20.52,1.8,65.3
Kyren Williams,UT,LAR,SF,-205,48.5,-3.5,26,8600,14.43,1.7,40
Davante Adams,UT,LAR,SF,-205,48.5,-3.5,26,9200,12.3,1.3,28.7
Mike Evans,UT,SF,LAR,169,48.5,3.5,22.5,8200,12.79,1.6,25.9
