Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE),Proj Pass Comp,Proj Pass Att,Proj Comp %,Proj Pass Yds,Proj Pass AVG,Proj Pass Long,Proj Pass TDs,Proj INT,Proj Passer Rating,Proj Rush Att,Proj Rush Yds,Proj Rush AVG,Proj Rush Long,Proj Rush TDs,Proj Rec,Proj Targets,Proj Rec Yds,Proj Rec AVG,Proj Rec Long,Proj Rec TDs,Proj Anytime TD,Proj Fumbles,Proj Fumbles Lost,Proj FG,Proj PAT,Proj Kick Pts
Chris Rodriguez Jr.,RB,JAX,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",5100,44069814,4.53,6.11,0.89,15.3,,13.5,1.5,,,,,4,https://dkn.gs/sports/images/nfl/players/50/706670.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,0,,,,,,8.65,33.5,3.87,,0.42,0.5,1,1.5,3,2.5,0,0.34,,,,,
Mike Gesicki,TE,CIN,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),4000,44081951,4.96,6.09,1.24,12,,,9.5,,,,,2.5,https://dkn.gs/sports/images/nfl/players/50/14499.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.4,3.5,20.29,8.45,11.5,,0.21,,,,,
Xavier Legette,CPT,CAR,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),5100,44081903,4.32,6.08,0.85,15.3,,,3.5,,,,,3,https://dkn.gs/sports/images/nfl/players/50/787681.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.2,3.5,18.5,8.41,12.5,,0.15,,,,,
Mason Taylor,CPT,NYJ,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),4200,44082210,4.84,6.08,1.15,12.6,,,9.5,,,,,3,https://dkn.gs/sports/images/nfl/players/50/886169.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.56,3.5,20.13,7.86,12.26,,0.15,,,,,
Malachi Fields,WR,NYG,Classic,9/13/2026,"Classic 9/9 8:20PM, 16 Games",4300,44038103,4.73,6.04,1.1,12.9,,,1.5,,,,,3.5,https://dkn.gs/sports/images/nfl/players/50/957859.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.21,3.5,22.13,10.01,14.12,,0.16,,,,,
Jahan Dotson,CPT,ATL,Showdown Captain Mode,9/13/2026,Showdown Captain Mode 9/13 1:00PM ( @ ),5700,44081695,3.92,6.03,0.69,17.1,,,3.5,,,,,2,https://dkn.gs/sports/images/nfl/players/50/640766.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,1.9,3.5,18.5,9.74,11.88,,0.12,,,,,
De'Zhaun Stribling,WR,SF,Showdown Captain Mode,9/10/2026,Showdown Captain Mode 9/10 8:35PM ( @ ),6600,44080723,3.39,6.02,0.51,19.8,,,11.5,,,,,4.5,https://dkn.gs/sports/images/nfl/players/50/957843.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/10/2026,,,,,,,,,,,,,,,3,5.5,35.5,11.83,,,,,,,,
Samaje Perine,RB,CIN,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",4600,43727419,4.68,6.02,1.02,13.8,,9.5,1.5,,,,,3.5,https://dkn.gs/sports/images/nfl/players/50/13936.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,4.96,19.5,3.93,,,1.44,2,8.07,5.6,6.5,,0.2,,,,,
Samaje Perine,RB,CIN,Early,9/13/2026,"Early 9/13 1:00PM, 8 Games",4600,44069836,4.68,6.02,1.02,13.8,,9.5,1.5,,,,,3.5,https://dkn.gs/sports/images/nfl/players/50/13936.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,4.96,19.5,3.93,,,1.44,2,8.07,5.6,6.5,,0.2,,,,,
Kendrick Bourne,WR,ARI,Classic,9/13/2026,"Classic 9/13 1:00PM, 12 Games",3600,43727765,5.01,6.01,1.39,10.8,,,3.5,,,,,,https://dkn.gs/sports/images/nfl/players/50/19431.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/13/2026,,,,,,,,,,,,,,,2.28,3,18.92,8.3,11.86,,0.14,,,,,
